Season,PlayerID,Age,YearsExperience,League,Team,Position,Games,PointsPerGame,AssistsPerGame,BlocksPerGame,ReboundsPerGame,EffectiveFieldGoalPercent
1952,27,33,6,NBA,BOS,SF,63,5.3,1.8,,2.8,0.325
1951,27,32,5,NBA,TOT,SF,44,6.0,1.9,,4.5,0.312
1949,27,30,3,BAA,WSC,SF,57,12.7,2.0,,,0.328
1950,27,31,4,NBA,WSC,SF,53,9.3,1.7,,,0.296
1948,27,29,2,BAA,WSC,SF,43,11.3,0.8,,,0.268
1947,28,25,1,BAA,CHS,G,15,1.0,0.0,,,0.192
1949,29,27,3,BAA,NYK,F-C,58,12.3,1.9,,,0.35
1948,29,26,2,BAA,NYK,F-C,48,13.0,0.9,,,0.315
1947,29,25,1,BAA,NYK,F-C,42,9.5,0.8,,,0.307
1948,30,28,2,BAA,STB,G,44,3.9,0.2,,,0.261
1949,30,29,3,BAA,STB,G,30,4.6,1.4,,,0.295
1949,30,29,3,BAA,TOT,G,47,4.7,1.4,,,0.29
1947,30,27,1,BAA,WSC,G,55,2.7,0.4,,,0.238
1949,30,29,3,BAA,PRO,G,17,4.8,1.5,,,0.282
1949,31,26,3,BAA,NYK,G-F,59,7.0,2.4,,,0.317
1947,31,24,1,BAA,NYK,G-F,16,1.6,0.4,,,0.206
1950,31,27,4,NBA,NYK,G-F,56,3.7,1.4,,,0.329
1948,31,25,2,BAA,NYK,G-F,44,4.1,0.7,,,0.276
1947,32,25,1,BAA,STB,G,55,5.9,0.3,,,0.299
1948,32,26,2,BAA,BOS,G,25,2.8,0.3,,,0.198
1947,33,25,1,BAA,TOT,G,58,6.1,0.6,,,0.253
1947,33,25,1,BAA,TRH,G,23,6.1,0.4,,,0.273
1948,33,26,2,BAA,BOS,G,7,1.4,0.4,,,0.158
1947,33,25,1,BAA,BOS,G,35,6.0,0.7,,,0.241
1947,34,30,1,BAA,DTF,G,30,2.2,0.7,,,0.253
1947,35,30,1,BAA,CHS,F-C,51,5.0,0.3,,,0.268
1949,36,29,3,BAA,TOT,C,60,10.3,1.9,,,0.312
1947,36,27,1,BAA,CHS,C,61,12.7,0.8,,,0.306
1948,36,28,2,BAA,CHS,C,6,5.2,0.3,,,0.218
1948,36,28,2,BAA,TOT,C,46,9.8,0.7,,,0.258
1949,36,29,3,BAA,BOS,C,33,9.4,1.8,,,0.293
1950,36,30,4,NBA,WSC,C,68,4.8,1.3,,,0.38
1951,36,31,5,NBA,BLB,C,33,8.2,2.5,,8.2,0.385
1949,36,29,3,BAA,PRO,C,27,11.4,1.9,,,0.333
1951,36,31,5,NBA,TOT,C,68,7.4,2.3,,7.9,0.365
1951,36,31,5,NBA,WSC,C,35,6.6,2.2,,7.6,0.341
1948,36,28,2,BAA,PHW,C,40,10.5,0.8,,,0.262
1947,37,25,1,BAA,BOS,F-C,49,4.6,0.8,,,0.247
1948,37,26,2,BAA,BOS,F-C,4,3.0,0.3,,,0.385
1949,38,26,3,BAA,CHS,F-C,56,5.1,2.2,,,0.391
1948,38,25,2,BAA,CHS,F-C,48,9.6,1.6,,,0.303
1951,38,28,5,NBA,WSC,F-C,16,3.2,1.1,,4.7,0.279
1950,38,27,4,NBA,WSC,F-C,68,6.1,1.6,,,0.335
1947,38,24,1,BAA,CHS,F-C,51,3.5,0.4,,,0.3
1948,39,22,2,BAA,BOS,C-F,32,7.8,0.5,,,0.295
1948,39,22,2,BAA,TOT,C-F,45,8.6,0.5,,,0.297
1953,39,27,7,NBA,NYK,C,65,11.2,2.0,,7.0,0.377
1948,39,22,2,BAA,BLB,C-F,13,10.6,0.5,,,0.302
1955,39,29,9,NBA,BLB,C-F,11,13.7,1.8,,7.4,0.369
1955,39,29,9,NBA,TOT,C,36,9.6,1.7,,6.1,0.357
1950,39,24,4,NBA,NYK,C-F,60,11.3,1.7,,,0.331
1955,39,29,9,NBA,SYR,C,25,7.8,1.6,,5.6,0.348
1947,39,21,1,BAA,BOS,C-F,60,10.3,1.0,,,0.32
1951,39,25,5,NBA,NYK,C-F,66,9.2,1.8,,6.5,0.374
1952,39,26,6,NBA,NYK,C,66,9.5,1.8,,7.1,0.378
1949,39,23,3,BAA,BLB,C-F,60,13.0,1.9,,,0.377
1956,39,30,10,NBA,ROC,PF,68,5.4,1.2,,3.5,0.336
1954,39,28,8,NBA,NYK,C,72,10.0,1.8,,6.7,0.358
1949,40,25,2,BAA,STB,F,32,5.0,1.0,,,0.315
1947,40,23,1,BAA,PIT,F,52,14.1,0.6,,,0.336
1947,41,27,1,BAA,STB,F,48,1.5,0.1,,,0.269
1948,42,27,2,BAA,PRO,F,1,0.0,0.0,,,0.0
1947,42,26,1,BAA,TRH,F,60,4.6,0.7,,,0.238
1947,43,25,1,BAA,TOT,G,31,1.1,0.3,,,0.2
1947,43,25,1,BAA,NYK,G,24,1.3,0.2,,,0.241
1947,43,25,1,BAA,BOS,G,7,0.3,0.4,,,0.059
1948,44,31,2,BAA,BLB,F-G,48,8.0,0.6,,,0.284
1950,44,33,4,NBA,SHE,F-G,29,4.3,1.7,,,0.311
1947,44,30,1,BAA,TOT,F-G,57,6.2,1.0,,,0.237
1947,44,30,1,BAA,CLR,F-G,16,6.6,1.1,,,0.244
1950,44,33,4,NBA,TRI,F-G,8,5.1,1.0,,,0.289
1949,44,32,3,BAA,WSC,F-G,50,3.9,1.1,,,0.234
1950,44,33,4,NBA,WSC,F-G,13,3.3,0.8,,,0.267
1950,44,33,4,NBA,TOT,F-G,50,4.2,1.3,,,0.297
1947,44,30,1,BAA,TRH,F-G,41,6.0,1.0,,,0.234
1947,45,26,1,BAA,PRO,G,60,12.2,1.0,,,0.304
1948,45,27,2,BAA,PRO,G,32,3.2,0.4,,,0.238
1950,46,30,3,NBA,MNL,G-F,57,4.7,1.3,,,0.341
1949,46,29,2,BAA,MNL,G-F,55,9.2,3.1,,,0.334
1951,46,31,4,NBA,BLB,G-F,9,4.7,2.1,,1.7,0.37
1947,46,27,1,BAA,CHS,G-F,59,10.7,1.0,,,0.322
1947,47,28,1,BAA,BOS,F,1,0.0,0.0,,,0.0
1949,48,28,3,BAA,BLB,C-F,7,0.7,0.6,,,0.222
1947,48,26,1,BAA,STB,C-F,54,3.5,0.2,,,0.293
1949,48,28,3,BAA,STB,C-F,37,3.5,0.6,,,0.311
1949,48,28,3,BAA,TOT,C-F,44,3.0,0.6,,,0.306
1948,48,27,2,BAA,STB,C-F,39,2.2,0.1,,,0.233
1948,49,25,2,BAA,STB,G,42,6.4,0.6,,,0.263
1947,49,24,1,BAA,STB,G,58,6.6,0.5,,,0.246
1950,49,27,4,NBA,STB,G,57,2.4,1.6,,,0.255
1949,49,26,3,BAA,STB,G,59,4.2,2.4,,,0.297
1947,50,25,1,BAA,CHS,F-G,58,4.7,0.3,,,0.266
1949,51,27,3,BAA,BOS,G-F,5,1.0,0.8,,,0.182
1947,51,25,1,BAA,PRO,G-F,57,12.1,1.5,,,0.339
1948,51,26,2,BAA,PRO,G-F,45,8.0,1.1,,,0.262
1949,51,27,3,BAA,PRO,G-F,27,3.8,1.5,,,0.276
1949,51,27,3,BAA,TOT,G-F,32,3.3,1.4,,,0.268
1947,52,23,1,BAA,TRH,G,8,1.5,0.8,,,0.286
1947,53,30,1,BAA,PIT,G,57,4.9,0.6,,,0.263
1950,54,32,4,NBA,TOT,C,69,12.6,2.0,,,0.324
1950,54,32,4,NBA,BLB,C,52,14.0,1.9,,,0.328
1949,54,31,3,BAA,PHW,C,60,15.3,2.7,,,0.405
1950,54,32,4,NBA,PHW,C,17,8.6,2.3,,,0.307
1947,54,29,1,BAA,TRH,C,10,19.1,0.8,,,0.349
1947,54,29,1,BAA,TOT,C,53,16.5,0.9,,,0.369
1948,54,30,2,BAA,BOS,C,47,19.4,1.6,,,0.323
1947,54,29,1,BAA,CLR,C,43,16.0,0.9,,,0.375
1949,55,26,2,BAA,PHW,C,20,2.1,0.4,,,0.385
1947,55,24,1,BAA,PRO,C,11,1.4,0.3,,,0.308
1948,56,24,2,BAA,PRO,G,47,11.9,2.5,,,0.271
1949,56,25,3,BAA,PRO,G,59,9.4,4.3,,,0.313
1947,56,23,1,BAA,PRO,G,59,14.3,3.4,,,0.293
1947,57,26,1,BAA,TRH,F,28,5.0,0.3,,,0.268
1947,58,21,1,BAA,NYK,G,6,0.8,0.0,,,0.154
1947,59,28,1,BAA,CLR,G,45,14.0,1.2,,,0.298
1947,60,24,1,BAA,STB,F,18,2.8,0.3,,,0.275
1954,61,31,8,NBA,FTW,PG,64,7.2,2.0,,2.2,0.324
1953,61,30,7,NBA,TOT,PG,62,13.4,3.8,,3.4,0.342
1947,61,24,1,BAA,WSC,PG,58,12.6,1.0,,,0.294
1951,61,28,5,NBA,WSC,PG,35,14.7,3.7,,3.0,0.337
1951,61,28,5,NBA,TOT,PG,66,13.4,3.9,,3.3,0.327
1951,61,28,5,NBA,SYR,PG,31,11.9,4.1,,3.6,0.315
1952,61,29,6,NBA,BLB,PG,64,14.6,4.7,,3.3,0.334
1950,61,27,4,NBA,WSC,PG,66,13.0,2.7,,,0.343
1949,61,26,3,BAA,WSC,PG,48,11.2,2.1,,,0.31
1953,61,30,7,NBA,FTW,PG,16,11.1,2.3,,2.9,0.377
1955,61,32,9,NBA,BOS,PG,59,3.2,1.6,,1.3,0.305
1948,61,25,2,BAA,WSC,PG,47,12.5,1.2,,,0.294
1953,61,30,7,NBA,BLB,PG,46,14.2,4.3,,3.5,0.334
1947,62,23,1,BAA,PHW,F,22,3.4,0.2,,,0.199
1947,63,25,1,BAA,NYK,F,23,3.8,0.6,,,0.289
1947,64,25,1,BAA,CHS,G-F,9,0.4,0.1,,,0.182
1947,65,27,1,BAA,WSC,F,14,0.6,0.1,,,0.091
1948,66,25,2,BAA,PRO,F,24,2.5,0.4,,,0.2
1947,66,24,1,BAA,PRO,F,57,6.7,0.6,,,0.268
1948,67,26,2,BAA,BOS,G,21,3.4,0.1,,,0.297
1947,67,25,1,BAA,STB,G,59,7.0,0.3,,,0.263
1950,68,26,4,NBA,TOT,C-F,55,3.9,0.5,,,0.306
1950,68,26,4,NBA,CHS,C-F,36,2.6,0.3,,,0.296
1950,68,26,4,NBA,BOS,C-F,18,6.0,0.9,,,0.3
1947,68,23,1,BAA,CLR,C-F,48,7.6,0.4,,,0.281
1948,68,24,2,BAA,PRO,C-F,45,11.6,0.7,,,0.297
1949,68,25,3,BAA,TOT,C-F,60,9.8,1.6,,,0.326
1947,68,23,1,BAA,TOT,C-F,61,7.9,0.5,,,0.293
1949,68,25,3,BAA,BOS,C-F,27,9.8,1.4,,,0.341
1950,68,26,4,NBA,TRI,C-F,1,12.0,1.0,,,0.5
1947,68,23,1,BAA,TRH,C-F,13,8.9,0.8,,,0.338
1949,68,25,3,BAA,PRO,C-F,33,9.8,1.7,,,0.315
1947,69,24,1,BAA,PRO,G,39,3.1,0.4,,,0.262
1947,70,27,1,BAA,DTF,G,37,2.5,0.4,,,0.238
1953,71,30,7,NBA,PHW,PG,69,6.0,3.8,,3.7,0.33
1948,71,25,2,BAA,PHW,PG,47,8.8,1.1,,,0.277
1949,71,26,3,BAA,PHW,PG,60,6.5,3.9,,,0.267
1950,71,27,4,NBA,PHW,PG,68,9.0,3.9,,,0.32
1952,71,29,6,NBA,PHW,PG,57,8.3,4.9,,4.1,0.361
1947,71,24,1,BAA,PHW,PG,58,6.3,0.6,,,0.267
1954,71,31,8,NBA,PHW,PG,58,1.9,1.4,,1.1,0.345
1951,71,28,5,NBA,PHW,PG,65,10.4,5.3,,5.0,0.354
1949,72,25,3,BAA,TOT,F-C,45,1.9,0.4,,,0.246
1947,72,23,1,BAA,STB,F-C,60,5.9,0.3,,,0.297
1949,72,25,3,BAA,STB,F-C,19,1.9,0.6,,,0.25
1949,72,25,3,BAA,PRO,F-C,26,1.9,0.3,,,0.243
1948,72,24,2,BAA,STB,F-C,46,3.8,0.3,,,0.264
1947,73,22,1,BAA,TRH,F-G,6,1.8,0.2,,,0.333
1947,74,26,1,BAA,PIT,C,16,0.3,0.0,,,0.0
1948,75,30,2,BAA,TOT,F-C,45,7.0,0.9,,,0.268
1948,75,30,2,BAA,BLB,F-C,21,7.1,1.3,,,0.294
1948,75,30,2,BAA,STB,F-C,24,6.9,0.5,,,0.248
1949,75,31,3,BAA,STB,F-C,34,4.4,1.1,,,0.387
1947,75,29,1,BAA,DTF,F-C,60,4.8,0.9,,,0.204
1947,76,23,1,BAA,BOS,F,4,1.5,0.0,,,0.333
1948,77,31,2,BAA,PRO,C-F,21,6.8,0.3,,,0.265
1948,77,31,2,BAA,PHW,C-F,24,2.5,0.3,,,0.333
1949,77,32,3,BAA,BOS,C-F,8,2.4,0.4,,,0.214
1948,77,31,2,BAA,TOT,C-F,45,4.5,0.3,,,0.283
1947,77,30,1,BAA,PRO,C-F,58,12.3,0.6,,,0.262
1947,78,25,1,BAA,TRH,G,6,1.0,0.0,,,0.4
1947,79,23,1,BAA,CLR,F,24,2.1,0.2,,,0.193
1947,80,26,1,BAA,NYK,F,31,4.3,0.6,,,0.262
1947,80,26,1,BAA,PRO,F,29,8.6,0.6,,,0.331
1947,80,26,1,BAA,TOT,F,60,6.4,0.6,,,0.305
1947,81,23,1,BAA,DTF,G,54,4.9,0.7,,,0.248
1947,82,27,1,BAA,DTF,C,27,0.6,0.4,,,0.2
1947,83,24,1,BAA,BOS,C,53,3.1,0.3,,,0.314
1947,84,23,1,BAA,TRH,C-F,53,2.9,0.8,,,0.223
1947,85,27,1,BAA,PIT,C-F,48,7.5,0.6,,,0.314
1947,86,24,1,BAA,DTF,G,29,2.5,0.2,,,0.222
1947,87,25,1,BAA,STB,F,58,2.4,0.3,,,0.202
1949,88,26,3,BAA,PHW,F,38,7.7,3.1,,,0.307
1947,88,24,1,BAA,PHW,F,60,8.8,1.7,,,0.28
1948,88,25,2,BAA,PHW,F,48,12.2,2.5,,,0.275
1947,89,,1,BAA,DTF,F-G,19,1.1,0.1,,,0.122
1948,90,26,2,BAA,BLB,C,14,4.4,0.1,,,0.291
1948,90,26,2,BAA,WSC,C,11,4.2,0.1,,,0.25
1948,90,26,2,BAA,STB,C,24,7.8,0.2,,,0.289
1947,90,25,1,BAA,CLR,C,29,3.5,0.5,,,0.216
1948,90,26,2,BAA,TOT,C,49,6.0,0.1,,,0.283
1949,90,27,3,BAA,NYK,C,53,5.9,1.3,,,0.275
1949,91,31,3,BAA,PHW,F,13,2.7,0.9,,,0.292
1947,91,29,1,BAA,WSC,F,58,8.4,0.5,,,0.273
1948,91,30,2,BAA,WSC,F,47,7.2,0.7,,,0.205
1949,91,31,3,BAA,TOT,F,42,4.0,1.0,,,0.261
1949,91,31,3,BAA,BLB,F,29,4.6,1.1,,,0.253
1948,92,29,2,BAA,BOS,G,43,6.1,1.4,,,0.3
1947,92,28,1,BAA,BOS,G,40,4.5,1.5,,,0.266
1949,92,30,3,BAA,BOS,G,9,3.8,1.9,,,0.171
1947,93,28,1,BAA,PRO,C,39,3.9,0.1,,,0.292
1947,93,28,1,BAA,TOT,C,50,3.5,0.1,,,0.292
1947,93,28,1,BAA,NYK,C,11,1.8,0.1,,,0.292
1948,94,25,2,BAA,PHW,SG,46,7.2,0.9,,,0.238
1953,94,30,5,NBA,PHW,SG,33,9.0,3.3,,4.6,0.33
1949,94,26,3,BAA,PHW,SG,59,5.5,2.0,,,0.29
1950,94,27,4,NBA,PHW,SG,65,4.6,1.8,,,0.289
1947,94,24,1,BAA,PHW,SG,59,4.5,0.7,,,0.261
1947,95,28,1,BAA,BOS,F,43,6.0,0.5,,,0.291
1948,95,29,2,BAA,PRO,F,3,2.0,0.0,,,0.3
1947,96,23,1,BAA,PHW,G,50,2.5,0.4,,,0.299
1950,96,26,4,NBA,PHW,G,4,1.8,0.5,,,0.333
1948,96,24,2,BAA,BLB,G,2,0.0,0.0,,,0.0
1949,96,25,3,BAA,PHW,G,39,3.5,1.2,,,0.29
1950,97,27,4,NBA,BOS,G-F,65,4.8,3.8,,,0.3
1949,97,26,3,BAA,BOS,G-F,58,7.9,3.9,,,0.314
1948,97,25,2,BAA,CHS,G-F,48,6.2,1.9,,,0.297
1947,97,24,1,BAA,CHS,G-F,60,7.3,1.1,,,0.314
1947,98,29,1,BAA,PIT,F-G,30,2.1,0.1,,,0.26
1948,99,26,2,BAA,PHW,PF,43,22.1,0.6,,,0.259
1954,99,32,8,NBA,PHW,PF,61,2.5,0.5,,1.7,0.266
1949,99,27,3,BAA,PHW,PF,60,26.0,1.2,,,0.313
1951,99,29,5,NBA,PHW,PF,66,18.7,1.8,,7.9,0.316
1952,99,30,6,NBA,PHW,PF,61,15.1,2.0,,6.0,0.312
1947,99,25,1,BAA,PHW,PF,60,23.2,0.4,,,0.305
1950,99,28,4,NBA,PHW,PF,68,14.2,0.8,,,0.278
1953,99,31,7,NBA,PHW,PF,70,11.9,2.0,,5.5,0.346
1947,100,27,1,BAA,PIT,F,47,11.2,0.7,,,0.242
1948,100,28,2,BAA,STB,F,4,1.0,0.3,,,0.1
1948,100,28,2,BAA,TOT,F,9,0.7,0.2,,,0.048
1948,100,28,2,BAA,BLB,F,5,0.4,0.2,,,0.0
1947,101,28,1,BAA,STB,F,58,5.1,0.9,,,0.283
1948,102,27,2,BAA,TOT,F-G,10,3.7,0.2,,,0.28
1947,102,26,1,BAA,DTF,F-G,60,11.6,0.8,,,0.288
1948,102,27,2,BAA,PRO,F-G,7,4.9,0.3,,,0.302
1948,102,27,2,BAA,BOS,F-G,3,1.0,0.0,,,0.143
1951,103,30,5,NBA,TRI,G,30,7.7,4.0,,4.5,0.312
1947,103,26,1,BAA,STB,G,61,12.6,1.3,,,0.278
1949,103,28,3,BAA,STB,G,57,14.1,4.8,,,0.346
1950,103,29,4,NBA,STB,G,62,12.2,3.9,,,0.331
1948,103,27,2,BAA,STB,G,48,13.4,1.3,,,0.301
1949,104,26,3,BAA,INJ,C,13,10.0,2.6,,,0.246
1951,104,28,5,NBA,TOT,C,58,4.6,1.3,,3.8,0.316
1949,104,26,3,BAA,FTW,C,37,9.5,2.2,,,0.265
1949,104,26,3,BAA,TOT,C,57,9.4,2.2,,,0.259
1951,104,28,5,NBA,BOS,C,46,5.2,1.5,,4.0,0.342
1953,104,30,7,NBA,BOS,C,69,2.8,1.1,,2.6,0.302
1950,104,27,4,NBA,TRI,C,36,6.2,1.8,,,0.266
1950,104,27,4,NBA,FTW,C,2,3.5,1.0,,,0.375
1950,104,27,4,NBA,TOT,C,62,5.5,1.7,,,0.267
1950,104,27,4,NBA,BOS,C,24,4.6,1.8,,,0.262
1949,104,26,3,BAA,BLB,C,7,7.6,1.3,,,0.263
1952,104,29,6,NBA,BOS,C,60,3.0,1.1,,2.2,0.344
1951,104,28,5,NBA,INO,C,12,2.3,0.8,,2.9,0.17
1948,104,25,2,BAA,WSC,C,48,6.6,0.6,,,0.249
1947,104,24,1,BAA,WSC,C,60,9.3,1.0,,,0.255
1947,105,27,1,BAA,PIT,C-F,47,3.9,0.2,,,0.294
1947,106,22,1,BAA,NYK,F,9,2.7,0.0,,,0.32
1947,106,22,1,BAA,TOT,F,20,1.6,0.0,,,0.275
1947,106,22,1,BAA,PHW,F,11,0.7,0.0,,,0.2
1949,107,27,3,BAA,WSC,F,60,7.4,1.4,,,0.361
1947,107,25,1,BAA,WSC,F,60,10.4,0.8,,,0.319
1950,107,28,4,NBA,WSC,F,40,6.3,0.8,,,0.338
1948,107,26,2,BAA,WSC,F,48,9.8,0.9,,,0.308
1951,107,29,5,NBA,WSC,F,9,2.3,0.6,,1.0,0.375
1947,108,22,1,BAA,BOS,G,60,5.3,0.5,,,0.28
1947,109,26,1,BAA,CLR,C,3,0.0,0.0,,,
1947,110,24,1,BAA,WSC,G,25,0.9,0.0,,,0.333
1947,110,24,1,BAA,TOT,G,28,0.8,0.0,,,0.333
1947,110,24,1,BAA,PRO,G,3,0.0,0.0,,,
1951,111,30,5,NBA,BLB,G,50,9.5,2.8,,2.3,0.348
1947,111,26,1,BAA,CLR,G,58,9.9,2.3,,,0.309
1949,111,28,3,BAA,PRO,G,57,15.8,3.7,,,0.341
1951,111,30,5,NBA,BOS,G,10,1.8,0.8,,0.3,0.16
1948,111,27,2,BAA,PHW,G,2,2.0,0.0,,,0.667
1950,111,29,4,NBA,DNN,G,57,17.3,4.0,,,0.349
1948,111,27,2,BAA,CHS,G,1,0.0,0.0,,,0.0
1948,111,27,2,BAA,TOT,G,44,11.9,1.3,,,0.3
1948,111,27,2,BAA,PRO,G,41,12.7,1.4,,,0.3
1951,111,30,5,NBA,TOT,G,60,8.2,2.5,,2.0,0.34
1948,112,24,2,BAA,BLB,C-F,48,12.0,1.0,,,0.277
1951,112,27,5,NBA,BOS,C-F,23,6.5,0.9,,5.3,0.314
1953,112,29,6,NBA,INO,C-F,6,1.7,0.7,,2.0,0.182
1947,112,23,1,BAA,CLR,C-F,11,3.9,0.9,,,0.269
1949,112,25,3,BAA,WSC,C-F,60,11.8,1.7,,,0.312
1953,112,29,6,NBA,TOT,C-F,10,1.1,0.4,,1.9,0.129
1947,112,23,1,BAA,TOT,C-F,32,9.3,0.8,,,0.287
1951,112,27,5,NBA,TOT,C-F,71,7.5,1.3,,6.3,0.293
1947,112,23,1,BAA,TRH,C-F,21,12.1,0.7,,,0.291
1953,112,29,6,NBA,BOS,C-F,4,0.3,0.0,,1.8,0.0
1951,112,27,5,NBA,TRI,C-F,48,8.0,1.5,,6.8,0.285
1950,112,26,4,NBA,CHS,C-F,67,8.1,1.5,,,0.319
1947,113,25,1,BAA,NYK,C,22,7.8,1.0,,,0.283
1950,113,28,4,NBA,BLB,C,1,0.0,0.0,,,0.0
1948,113,26,2,BAA,NYK,C,48,5.4,1.0,,,0.268
1949,113,27,3,BAA,NYK,C,60,7.4,2.3,,,0.341
1947,114,26,1,BAA,NYK,G,57,5.9,0.4,,,0.302
1948,114,27,2,BAA,NYK,G,27,4.9,0.4,,,0.259
1947,115,25,1,BAA,CLR,F-C,17,12.3,1.6,,,0.323
1949,115,27,2,BAA,BLB,F-C,13,3.5,0.2,,,0.2
1949,115,27,2,BAA,INJ,F-C,19,15.9,3.9,,,0.364
1947,115,25,1,BAA,TOT,F-C,58,13.0,1.4,,,0.295
1950,115,28,3,NBA,PHW,F-C,64,8.8,1.5,,,0.396
1947,115,25,1,BAA,TRH,F-C,41,13.3,1.4,,,0.285
1951,115,29,4,NBA,PHW,F-C,57,2.4,0.6,,1.8,0.352
1949,115,27,2,BAA,FTW,F-C,20,8.7,1.4,,,0.335
1949,115,27,2,BAA,TOT,F-C,52,10.0,2.0,,,0.338
1947,116,27,1,BAA,CLR,F,5,0.0,0.0,,,0.0
1947,117,24,1,BAA,PRO,F,4,0.3,0.0,,,0.0
1947,118,27,1,BAA,WSC,G,43,2.8,0.2,,,0.231
1949,118,29,2,BAA,INJ,G,10,3.1,1.7,,,0.246
1947,119,31,1,BAA,PHW,F,47,1.7,0.2,,,0.269
1952,120,26,6,NBA,NYK,SG,66,14.1,2.4,,2.9,0.336
1949,120,23,3,BAA,CHS,SG,58,20.6,2.6,,,0.35
1955,120,29,9,NBA,FTW,SG,70,11.2,2.9,,2.7,0.328
